,Ѕаратынский_1,Ѕаратынский_2,Ћермонтов_1,Ћермонтов_2,ѕушкин_1,ѕушкин_2,∆уковский_1,∆уковский_2,¬€земский_1,¬€земский_2,“ютчев_1,“ютчев_2,языков_1,языков_2,Ѕатеньков_1,Ѕатеньков_2,ѕсевдо-Ѕатеньков
Ѕаратынский_1,0,0.86930329,0.839680261,1.006856107,0.865147305,0.891866013,0.931380336,1.041297458,1.037746197,1.14626433,1.249081611,1.132597194,0.938868881,1.042323648,1.215967653,1.240600029,1.142548838
Ѕаратынский_2,0.86930329,0,1.188266574,1.198167556,0.967629384,1.053361321,1.148809469,1.273044827,1.087827938,1.166564735,1.139676424,1.082801464,0.911502629,0.983644082,0.980486087,1.070731425,1.082283915
Ћермонтов_1,0.839680261,1.188266574,0,0.703134688,0.86353569,0.832016824,0.876693884,0.832821788,1.09466431,1.111948435,1.067553572,1.120833607,1.138902619,1.201857526,1.217106805,1.201965939,1.15916966
Ћермонтов_2,1.006856107,1.198167556,0.703134688,0,0.984800337,0.91477805,1.020107515,0.903658873,1.057894409,1.107339221,0.969247036,1.077720188,1.093835441,1.102497154,1.227278061,1.169796608,1.128952384
ѕушкин_1,0.865147305,0.967629384,0.86353569,0.984800337,0,0.750453227,1.060651249,0.960652382,1.152817708,1.279213739,1.059119316,1.215657006,0.929436637,1.12154901,1.144551032,1.056919903,1.110218822
ѕушкин_2,0.891866013,1.053361321,0.832016824,0.91477805,0.750453227,0,1.085244789,0.953383887,1.011696843,0.978975304,1.216009145,1.160075688,1.029783413,1.068843147,1.211628204,1.172980818,1.096277856
∆уковский_1,0.931380336,1.148809469,0.876693884,1.020107515,1.060651249,1.085244789,0,0.733815205,1.064890628,1.068179459,1.025162104,1.076336376,1.038348514,1.170297368,1.207314153,1.159673165,1.080812493
∆уковский_2,1.041297458,1.273044827,0.832821788,0.903658873,0.960652382,0.953383887,0.733815205,0,1.07021951,1.093250541,0.958236636,1.160847384,1.176310302,1.088420701,1.192799758,1.14862468,1.177603726
¬€земский_1,1.037746197,1.087827938,1.09466431,1.057894409,1.152817708,1.011696843,1.064890628,1.07021951,0,0.729936551,1.15707236,1.091009585,1.07144669,1.034383005,1.047528793,1.059882528,1.106991561
¬€земский_2,1.14626433,1.166564735,1.111948435,1.107339221,1.279213739,0.978975304,1.068179459,1.093250541,0.729936551,0,1.152160175,0.945992072,1.189860349,1.032897831,1.028219839,1.064342705,0.948450468
“ютчев_1,1.249081611,1.139676424,1.067553572,0.969247036,1.059119316,1.216009145,1.025162104,0.958236636,1.15707236,1.152160175,0,0.854006128,1.087578574,1.083311481,1.080455117,1.032756034,1.044162952
“ютчев_2,1.132597194,1.082801464,1.120833607,1.077720188,1.215657006,1.160075688,1.076336376,1.160847384,1.091009585,0.945992072,0.854006128,0,1.092771846,1.053846677,1.086523137,1.13333556,1.070872662
языков_1,0.938868881,0.911502629,1.138902619,1.093835441,0.929436637,1.029783413,1.038348514,1.176310302,1.07144669,1.189860349,1.087578574,1.092771846,0,0.777576014,1.092268161,1.156547168,1.162788289
языков_2,1.042323648,0.983644082,1.201857526,1.102497154,1.12154901,1.068843147,1.170297368,1.088420701,1.034383005,1.032897831,1.083311481,1.053846677,0.777576014,0,1.119153389,1.183196699,1.043086335
Ѕатеньков_1,1.215967653,0.980486087,1.217106805,1.227278061,1.144551032,1.211628204,1.207314153,1.192799758,1.047528793,1.028219839,1.080455117,1.086523137,1.092268161,1.119153389,0,0.669043799,0.928855543
Ѕатеньков_2,1.240600029,1.070731425,1.201965939,1.169796608,1.056919903,1.172980818,1.159673165,1.14862468,1.059882528,1.064342705,1.032756034,1.13333556,1.156547168,1.183196699,0.669043799,0,0.983166862
ѕсевдо-Ѕатеньков,1.142548838,1.082283915,1.15916966,1.128952384,1.110218822,1.096277856,1.080812493,1.177603726,1.106991561,0.948450468,1.044162952,1.070872662,1.162788289,1.043086335,0.928855543,0.983166862,0
